gene,score,logfoldchange,pval,pval_adj,pct_in,pct_out,cluster
RPL35,50.82182,0.95830536,0.0,0.0,0.0,0.0009476676845319575,0
RPS2,50.8195,1.0347421,0.0,0.0,0.0,0.0005264820469621986,0
RPS19,50.750294,0.9205093,0.0,0.0,0.001221001221001221,0.0004211856375697589,0
RPS18,50.43057,0.78567386,0.0,0.0,0.0,0.002527113825418553,0
RPL36,50.127605,0.82130677,0.0,0.0,0.0,0.0004211856375697589,0
RPL13,49.864727,0.8663797,0.0,0.0,0.36874236874236876,0.47699273454775193,0
RPS15,48.77333,0.7344551,0.0,0.0,0.021367521367521368,0.02548173107297041,0
RPS8,48.598763,1.0213459,0.0,0.0,0.04456654456654457,0.062440770769716755,0
RPL37A,48.39685,0.8176931,0.0,0.0,0.004884004884004884,0.006107191744761504,0
RPS9,48.130054,0.7890101,0.0,0.0,0.6929181929181929,0.7282299673581131,0
RPS3,47.00577,0.72351825,0.0,0.0,0.06532356532356533,0.05601768979677793,0
RPL18A,46.999958,0.81955785,0.0,0.0,0.0006105006105006105,0.0009476676845319575,0
RPL7A,46.77852,0.9249127,0.0,0.0,0.009157509157509158,0.007897230704432979,0
RPL28,46.6377,0.62800264,0.0,0.0,0.0030525030525030525,0.0035800779193429504,0
RPL13A,46.633846,0.6502339,0.0,0.0,0.0006105006105006105,0.0012635569127092765,0
HES1,46.051937,1.807448,0.0,0.0,0.0,0.0006317784563546383,0
RPS21,45.966576,1.0142357,0.0,0.0,0.009157509157509158,0.016952721912182795,0
RPL29,45.600914,0.7065522,0.0,0.0,0.029914529914529916,0.042223860166368324,0
RPL8,45.58881,0.656619,0.0,0.0,0.0,0.00031588922817731913,0
RPS11,45.556778,0.8618164,0.0,0.0,0.0006105006105006105,0.001895335369063915,0
RPS29,45.370754,0.6789226,0.0,0.0,0.18925518925518925,0.16036643150468569,0
RPL37,45.098774,0.9225974,0.0,0.0,0.005494505494505495,0.008213119932610298,0
RPL32,44.92072,0.85709524,0.0,0.0,0.001221001221001221,0.009897862482889333,0
RPL11,44.52614,0.67463017,0.0,0.0,0.001221001221001221,0.00010529640939243972,0
RPL10A,44.506844,1.2109443,0.0,0.0,0.030525030525030524,0.02590291671054017,0
RPL36A,44.480743,1.4341335,0.0,0.0,0.4017094017094017,0.23712751395177425,0
RPL14,44.445175,0.9519329,0.0,0.0,0.07692307692307693,0.38317363377908814,0
RPLP2,44.297386,0.6245219,0.0,0.0,0.04945054945054945,0.06675792355480678,0
RPL31,44.2189,0.90777075,0.0,0.0,0.0006105006105006105,0.012109087080130568,0
RPL12,44.213062,0.81262064,0.0,0.0,0.0,0.00031588922817731913,0
RPL27A,44.20011,0.7505361,0.0,0.0,0.05128205128205128,0.0710750763398968,0
RPS5,44.160297,0.95619845,0.0,0.0,0.05372405372405373,0.05696535748130989,0
RPS27,44.133133,0.7064002,0.0,0.0,0.014652014652014652,0.026745287985679687,0
RPLP0,43.90875,0.89972866,0.0,0.0,0.005494505494505495,0.00368537432873539,0
RPS23,43.788868,0.968251,0.0,0.0,0.0,0.03780141097188586,0
RPL38,43.57351,0.81850266,0.0,0.0,0.0,0.015689164999473516,0
RPS17L,43.540733,1.1024389,0.0,0.0,0.3058608058608059,0.465515425923976,0
RPS12,43.40949,0.77360916,0.0,0.0,0.026862026862026864,0.028114141307781403,0
RPS28,43.054955,0.7105015,0.0,0.0,0.027472527472527472,0.2158576392545014,0
TMSB10,42.99518,0.549659,0.0,0.0,0.0,0.00031588922817731913,0
RPL18,42.933033,0.7141043,0.0,0.0,0.09462759462759462,0.17616089291355164,0
RPLP1,42.552307,0.5891243,0.0,0.0,0.005494505494505495,0.0044224491944824685,0
RPL21,42.371006,0.77003264,0.0,0.0,0.08058608058608059,0.08529009160787616,0
NUPR1,42.354496,2.4319563,0.0,0.0,0.07326007326007326,0.08560598083605349,0
RPL35A,41.914745,0.83545685,0.0,0.0,0.1813186813186813,0.22417605559650416,0
SNHG5,41.789272,1.4191798,0.0,0.0,0.1514041514041514,0.2628198378435295,0
RPS16,41.40513,0.7515149,0.0,0.0,0.0006105006105006105,0.0004211856375697589,0
PTMA,41.227905,0.5458653,0.0,0.0,0.10927960927960928,0.1137201221438349,0
RPL30,40.639587,0.8635379,0.0,0.0,0.8107448107448108,0.7787722438664841,0
RPS6,40.20256,0.8437396,0.0,0.0,0.11477411477411477,0.18974412972517637,0
CA1,37.76295,2.7053742,0.0,0.0,0.0,0.000908999091000909,1
SELENBP1,36.988487,1.9294659,1.75358645703334e-299,1.977957844210756e-295,0.0,0.000504999495000505,1
SLC26A2,36.67984,2.7494128,1.5309245540088078e-294,1.1512042337961564e-290,0.0,0.000605999394000606,1
KRT19,32.9797,1.1508474,1.587874394488817e-238,8.955214616318305e-235,0.0008103727714748784,0.002322997677002323,1
RN7SK,32.67858,2.2972639,3.147388592647342e-234,1.4200387852306277e-230,0.0,0.000403999596000404,1
CA2,32.237053,1.8908944,5.342839304324283e-228,2.0088185311041915e-224,0.4059967585089141,0.46793253206746793,1
ATP5D,31.058249,0.8054188,8.828368603663591e-212,2.8451309618578137e-208,0.01620745542949757,0.02595697404302596,1
ADIRF,29.941393,1.8813578,5.69505785365251e-197,1.6059351265068374e-193,0.05915721231766612,0.059892940107059894,1
CHCHD10,29.786436,0.9129743,5.854707010172567e-195,1.4675148382498106e-191,0.007293354943273906,0.005756994243005757,1
S100A14,29.422445,1.22393,2.83581169667301e-190,6.397307606524644e-187,0.7690437601296597,0.7173012826987173,1
HMGCS2,29.140667,2.1055927,1.0969191181881833e-186,2.2495816715642933e-183,0.029173419773095625,0.060902939097060904,1
FABP1,29.003012,1.3739623,6.028504026052659e-185,1.1333085193643493e-181,0.0,0.00100999899000101,1
CD24,28.389389,1.2206976,2.7340660033592804e-177,4.744445766906308e-174,0.011345218800648298,0.007675992324007676,1
HSD11B2,28.212616,1.7512122,4.094827049154754e-175,6.59822881442015e-172,0.0024311183144246355,0.003635996364003636,1
NDUFB7,27.757858,0.9364829,1.4006558434607533e-169,2.1064930115087423e-166,0.0024311183144246355,0.00100999899000101,1
UQCRC1,27.708534,1.2534666,5.510260763965585e-169,7.769123285893726e-166,0.0008103727714748784,0.000504999495000505,1
PHGR1,27.502493,0.6684965,1.6391774145323308e-166,2.175188429084403e-163,0.01620745542949757,0.015755984244015756,1
STARD10,27.288116,1.5398344,5.869362467998552e-164,7.355941550865518e-161,0.02106969205834684,0.04282395717604282,1
RP1-313I6.12,26.716955,1.827072,2.990685538835952e-157,3.550888161610539e-154,0.0,0.000302999697000303,1
TCEB2,26.202951,0.7363802,2.459302830813855e-151,2.7739706280164876e-148,0.0016207455429497568,0.001716998283001717,1
C10orf99,26.016848,1.2797694,3.193039344676373e-149,3.430084503645443e-146,0.08995137763371151,0.1739218260781739,1
NDUFS7,25.905687,1.1387277,5.746185424332033e-148,5.892190772159379e-145,0.006482982171799027,0.007978992021007979,1
